"Review","Date","Location"
"I've been dealing with an ongoing email issue with BlueHost for nearly three days now. My emails have not been sending, and despite reaching out to their support team, I've been told to wait for 4 hours at a time. It's now approaching 72 hours, and the problem is still not resolved. The lack of effective support and communication has been extremely frustrating. I would not recommend BlueHost to anyone looking for reliable email services or customer support.","August 31, 2024",MA
"Decent customer service, unfortunatly not respecting the GDPR regarding our data. Pricy for what is offers and a few downtime that they could not directly admit were because of them. Could be solved after opening 3 tickets...","August 31, 2024",FR
"My website drops out almost daily sometime 5 minutes sometimes 20 minutes even a couple of hours.
They also 'provided valued customers with an extra free domain' that they then charge you for. They will not refund this even though they can see the domain has not been used and that the dispute was brought within 5 minutes of payment being taken.
They then close the help chat without warning whilst I was replying.","August 31, 2024",GB
"Worst customer service. They do not even provide an email address but expect you to chat with them, like friends. Horrible. They disabled my email address and didn't give me a refund or any suitable apology. Don't trust Ashwini or anyone else in the customer service department. For what do I pay?","August 31, 2024",AT
"Awful load speed due to terrible response time, sometimes I see a blank screen for over 10s as I wait for Bluehost to respond and pull in the website content. Took three long conversations to confirm customer support can’t fix the issue because the chat starts from scratch each time and there’s no record of your previous conversation in the live chat, and no follow up via email. Not possible to change the primary domain/website, another problem that customer support was unable to solve. Posting this review again as Bluehost offered to help, but I didn’t respond to their request in time.","August 24, 2024",GB
"I had been hosting with them for a couple of years, but finally, no more!

Things did run smoothly until I needed them to help me resolve problems with web and email hosting. Their support agents are INCREDIBLY slow, things that took me 3 minutes with another hosting provider to resolve took BlueHost agents a whole hour and a half, and then it wasn't even resolved!! Their agents are super slow with responding and supposedly need like 10 minutes to retrieve every single piece of information lol They ask for information that I have already given them during the same conversation, just two lines prior, and then they need forever to check that info. The support is such a pain in the ass, and agents are clueless for even the simplest issues. Talked to five different guys about the same issue, got four different answers that were completely incompatible, and worst of all, none of them worked.

The cherry on top of this useless support service is the exorbitant fees they charge. Don't even bother with BlueHost, not worth it at all.

EDIT: To lower the rating from 2 to 1: After I just confronted the agent for being absolutely clueless, they of course didn't want to be rated badly. So this one agent sent me the fake survey message at the end, as if I won't notice the few inconsistencies (real survey message is automated and always looks the same, in fake one, agent didn't/couldn't bold the text etc.). So the agent sent me fake survey message, I let them know that the message looks different than automated message and they denied it lol If the survey message were actually real, then agent wouldn't be able to respond to me anymore!! So they denied (actually proving my point) and then they disconnected instantly, somehow foregoing real survey at the end. Unbelievable how scammy BlueHost agents are. Big NOPE","August 30, 2024",SI
Bluehost is AWFUL! Dishonest SCAMMERS. I filed a fraud case with my credit card company.,"August 29, 2024",US
"On April 24, 2024, I was contacted by Bluehost stating I had malware on my website, and I needed additional security. That day I paid $467.67 for malware protection, SSL, and backup services for my website. From that point forward, my site began experiencing outages for weeks and months at a time. Then, on July 18, 2024, I was informed that I had to renew my hosting subscription for an additional $305.69, bringing my total website expenses to $773.39. Despite paying these fees, my website remained offline for over 3 ½ months. I contacted sales and together we contacted the support team multiple times, only to be repeatedly assured that my website would be restored. It would briefly come back online, only to go down again within 24 hours. Each time, I had to spend approximately 4 hours with tech support, each and every time, who consistently shifted the blame elsewhere. I canceled all services and was promised a full refund, as confirmed in an email I received. Now, I am being told that the refund is outside of the refund period, and your team is refusing to honor the agreement. This is completely unacceptable, and I expected an immediate resolution. But now they are saying it's outside the refund period, and no refund will be given.
I have an email stating I would receive at least the Malware and Hosting monies back. This is the LAST correspondence I have received. Summary... none of the products sold to me worked at all. and I lost business!","August 19, 2024",US
I've used this company for decades. They used to provide excellent customer service. Now it sucks. Like most other large tech companies in the US they outsourced support to foreign countries and the people just don't care. My website isn't working and I can't get anyone there to fix it. I've been on hold on the phone for hours today - haven't been able to talk to anyone. Tried the chat and have had three different people tell me they are going to fix it and it's still not working. They take forever to answer chat. I'll be moving my business to a smaller company that has better customer support.,"August 29, 2024",US
"For the love of god, don't do it. You will lose hours of your life.","August 29, 2024",GB
